BGGId,Name,AvgRating,NumUserRatings
15126,Advanced Squad Leader: Starter Kit #2,7.95728,1185
15363,Nexus Ops,7.21554,8580
15364,Vegas Showdown,7.16859,6145
15953,Wings of War: Burning Drachens,7.13526,1330
15985,Blood Bowl: Living Rulebook,7.85206,3382
15987,Arkham Horror,7.25155,37475
16747,Tumblin-Dice,7.19302,4040
17133,Railways of the World,7.6893,11299
17226,Descent: Journeys in the Dark,7.29671,11437
17392,Here I Stand,7.90917,3653
17396,Manoeuvre,7.29571,2365
17405,1846: The Race for the Midwest,7.94817,2339
17419,CATAN 3D Collector's Edition,7.9096,1013
18098,Napoleon's Triumph,7.9829,1727
18602,Caylus,7.75353,27422
18745,Sun Tzu,7.05765,2234
18833,Lord of the Rings: The Confrontation,7.48034,5807
19600,Antike,7.0836,4617
19622,A Victory Lost: Crisis in Ukraine 1942-1943,7.68196,1051
19777,Indonesia,7.8636,4164
19857,Glory to Rome,7.48674,13245
20437,Lords of Vegas,7.34356,6842
20542,Advanced Squad Leader: Starter Kit #3,8.0334,1031
20551,Shogun,7.53362,13099
20963,Fury of Dracula (Second Edition),7.11904,9055
21050,Combat Commander: Europe,7.94695,5554
21241,Neuroshima Hex! 3.0,7.4051,13741
21348,Ticket to Ride: Märklin,7.41401,8827
21763,Mr. Jack,7.00105,16007
21790,Thurn and Taxis,7.09964,18638
21882,Blue Moon City,7.03864,7907
22192,HeroQuest Advanced Quest,7.32094,1521
22345,Yspahan,7.07826,7836
22484,Ingenious: Travel Edition,7.0972,1948
22545,Age of Empires III: The Age of Discovery,7.53456,9957
22825,Tide of Iron,7.20499,3766
22827,StarCraft: The Board Game,7.34414,7151
22877,Fields of Fire,7.85895,1169
23094,Planet Steam,7.12539,2783
23540,Shikoku 1889,7.9788,1259
23679,"Warriors of God: The Wars of England & France, 1135-1453",7.44032,1058
24181,Imperial,7.60919,8380
24480,The Pillars of the Earth,7.28339,16753
24508,Taluva,7.15792,8051
24703,Heroscape Marvel: The Conflict Begins,7.0147,1868
24800,Conflict of Heroes: Awakening the Bear! – Russia 1941-42,7.50013,3004
25021,Sekigahara: The Unification of Japan,8.02571,4789
25292,Merchants & Marauders,7.40534,13104
25417,BattleLore,7.36511,9137
25554,Notre Dame,7.33444,12531
25568,Metropolys,7.02552,4065
25613,Through the Ages: A Story of Civilization,7.90414,18326
26457,Successors (Third Edition),7.52594,1204
26566,Homesteaders,7.21562,3708
26990,Container,7.14934,4463
26997,1989: Dawn of Freedom,7.79509,2101
27162,Kingsburg,7.18605,18696
27173,Vikings,7.24698,8050
27708,1960: The Making of the President,7.62043,8740
27746,Colosseum,7.2168,8582
27833,Steam,7.58119,9745
27976,Heroscape Master Set: Swarm of the Marro,7.62578,2294
28023,Jamaica,7.05553,16993
28143,Race for the Galaxy,7.75771,48635
28181,Combat Commander: Pacific,8.11576,1545
28720,Brass: Lancashire,8.18111,20770
29603,D-Day at Omaha Beach,8.2851,1630
30380,Cuba,7.13829,8006
30381,Hamburgum,7.04933,3151
30549,Pandemic,7.5913,108101
30618,Eat Poop You Cat,7.44989,1622
30645,Tammany Hall,7.26745,3600
30658,Rise of Empires,7.03812,2036
30869,Thebes,7.13433,9337
30957,Tribune: Primus Inter Pares,7.22207,4485
31260,Agricola,7.92801,65810
31481,Galaxy Trucker,7.3911,30793
31552,Wings of War: Deluxe Set,7.26915,1149
31563,Middle-Earth Quest,7.38577,4011
31594,In the Year of the Dragon,7.33259,11147
31627,Ticket to Ride: Nordic Countries,7.63774,12251
31730,Chicago Express,7.24234,7653
31999,TZAAR,7.66146,3355
33160,Endeavor,7.39505,9191
34084,Witch's Brew,7.01264,3697
34119,Tales of the Arabian Nights,7.19118,11929
34219,Biblios,7.20388,15764
34635,Stone Age,7.5567,46988
35052,Axis & Allies Anniversary Edition,7.43404,2712
35497,Fauna,7.03368,4175
35570,Tinners' Trail,7.2503,3875
35677,Le Havre,7.86737,27828
36218,Dominion,7.61081,81131
36235,The Duke,7.36485,3879
36553,Time's Up! Title Recall!,7.70485,3236
36932,Claustrophobia,7.5065,6765
37046,Ghost Stories,7.30937,19943
37111,Battlestar Galactica: The Board Game,7.74169,33852
37836,"Julius Caesar: Caesar, Pompey, and the Roman Civil War",7.78168,1480
37904,Formula D,7.01571,17762
37907,Diamonds Club,7.04429,1736
37919,Ascending Empires,7.1847,2012
38159,Ultimate Werewolf: Ultimate Edition,7.00704,3863
38453,Space Alert,7.42784,15111
38713,Time's Up! Edición Amarilla,7.47938,1082
38765,Ground Floor,7.0231,1687
38823,Conflict of Heroes: Storms of Steel! – Kursk 1943,7.70355,1456
38863,Hab & Gut,7.08064,1924
38996,Washington's War,7.63474,2441
39351,Automobile,7.33304,5489
39463,Cosmic Encounter,7.53816,28643
39683,At the Gates of Loyang,7.37668,10192
39684,Merkator,7.04355,2595
39856,Dixit,7.24274,53976
39938,Carson City,7.23974,6873
40354,Maria,7.98023,2951
40529,Cosmic Encounter,7.20512,1015
40628,Finca,7.06351,6966
40692,Small World,7.24834,64216
40765,Clash of Cultures,7.61017,5330
40834,Dominion: Intrigue,7.71041,31070
41002,Vasco da Gama,7.23455,4356
41066,Virgin Queen,8.04883,1584
41114,The Resistance,7.26851,37175
42052,Vinhos,7.48008,4577
42124,Dungeon Twister 2: Prison,7.28341,1191
42215,Tobago,7.10977,11082
42776,Gears of War: The Board Game,7.46546,4806
42910,Peloponnes,7.11628,2790
43015,Hansa Teutonica,7.68083,12527
43111,Chaos in the Old World,7.67437,14625
43528,World Without End,7.24971,4746
43570,Friday,7.13899,17751
45315,Dungeon Lords,7.38381,13136
45358,Alhambra: Big Box,7.51371,4344
45748,Carcassonne: Wheel of Fortune,7.02213,1146
45986,Stronghold,7.14912,3396
46213,Telestrations,7.3983,13917
46396,Ubongo 3D,7.10233,1609
47055,High Frontier,7.37534,1530
47185,Warhammer: Invasion,7.22739,5772
